channel_id,candidate_id,case,edge_ps,side,signal,hspice_audit_class,rx_shape_hspice_audit_class,rx_timing_hspice_audit_class,reflection_hspice_audit_class,active_rmse_v,active_maxabs_v,plot
Clarity_example_Fitted_55b55a71,raw_auto_fit_default,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0041704767135726925,0.010324088973146739,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_Fitted_55b55a71_raw_auto_fit_default_audit_amp1p5_edge500_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge5_r50,5.0,tx,v(p1),FAIL,FAIL,WARN,PASS,0.00817599378505233,0.0412880031643318,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge5_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge5_r50,5.0,rx,v(p2),FAIL,FAIL,WARN,PASS,0.04715127710963358,0.19666711928883485,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge5_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge50_r50,50.0,tx,v(p1),FAIL,FAIL,PASS,PASS,0.006649356387560488,0.02053560172787031,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge50_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge50_r50,50.0,rx,v(p2),FAIL,FAIL,PASS,PASS,0.023348112314136974,0.09833911188892541,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge50_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0038107116586001723,0.006588246931834275,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge500_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.006424750303628422,0.019634684163285898,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge500_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc0,audit_amp1p5_edge5_r50,5.0,tx,v(p1),FAIL,FAIL,WARN,PASS,0.00817599378505233,0.0412880031643318,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc0_audit_amp1p5_edge5_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc0,audit_amp1p5_edge5_r50,5.0,rx,v(p2),FAIL,FAIL,WARN,PASS,0.04715127710963358,0.19666711928883485,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc0_audit_amp1p5_edge5_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc0,audit_amp1p5_edge50_r50,50.0,tx,v(p1),FAIL,FAIL,PASS,PASS,0.006649356387560488,0.02053560172787031,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc0_audit_amp1p5_edge50_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc0,audit_amp1p5_edge50_r50,50.0,rx,v(p2),FAIL,FAIL,PASS,PASS,0.023348112314136974,0.09833911188892541,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc0_audit_amp1p5_edge50_r50_rx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc0,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0038107116586001723,0.006588246931834275,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc0_audit_amp1p5_edge500_r50_tx.png
Clarity_example_acf20e4a,raw_vector_3r3c_lin_enforced_s200_original_pdc0,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.006424750303628422,0.019634684163285898,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\Clarity_example_acf20e4a_raw_vector_3r3c_lin_enforced_s200_original_pdc0_audit_amp1p5_edge500_r50_rx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s2000_original_pdc0,audit_amp1p5_edge5_r50,5.0,tx,v(p1),WARN,PASS,WARN,PASS,0.006072908723134936,0.10259915710610831,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s2000_original_pdc0_audit_amp1p5_edge5_r50_tx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s2000_original_pdc0,audit_amp1p5_edge5_r50,5.0,rx,v(p2),WARN,PASS,WARN,PASS,0.002785001479561865,0.05202931078016004,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s2000_original_pdc0_audit_amp1p5_edge5_r50_rx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s2000_original_pdc0,audit_amp1p5_edge50_r50,50.0,tx,v(p1),PASS,PASS,PASS,PASS,0.001995559690269802,0.010903646477603217,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s2000_original_pdc0_audit_amp1p5_edge50_r50_tx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s2000_original_pdc0,audit_amp1p5_edge50_r50,50.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0007341900024847365,0.0072292772939278604,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s2000_original_pdc0_audit_amp1p5_edge50_r50_rx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s2000_original_pdc0,audit_amp1p5_edge500_r50,500.0,tx,v(p1),PASS,PASS,PASS,PASS,0.0018290214774386647,0.0020367942671603023,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s2000_original_pdc0_audit_amp1p5_edge500_r50_tx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s2000_original_pdc0,audit_amp1p5_edge500_r50,500.0,rx,v(p2),PASS,PASS,PASS,PASS,0.0006276384396807285,0.0008877172409401668,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\rx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s2000_original_pdc0_audit_amp1p5_edge500_r50_rx.png
ntwk2_e1c16499,raw_vector_12r12c_lin_enforced_s200_original_pdc1,audit_amp1p5_edge5_r50,5.0,tx,v(p1),WARN,PASS,WARN,PASS,0.006073187053749113,0.10259807628278647,results\sparam_vector_fit_campaign_v2_phase1_overnight_2026-06-18\plots\side_overlays\tx\ntwk2_e1c16499_raw_vector_12r12c_lin_enforced_s200_original_pdc1_audit_amp1p5_edge5_r50_tx.png
